tier,tier_label,mode,mode_label,runs,success_rate,quests,models,rows
easy,Easy,stub,Baseline (A),67,0.746269,3,6,18
easy,Easy,reasoning,Prompted (B),207,0.31401,3,6,18
easy,Easy,light_hints,Knowledge (C),9,0.222222,3,2,5
easy,Easy,planner,Planner (D),3,0.333333,3,1,3
easy,Easy,tool_augmented,Tool-augmented (E),12,0.0,2,1,2
medium,Medium,stub,Baseline (A),66,0.106061,3,6,18
medium,Medium,reasoning,Prompted (B),242,0.066116,3,6,18
medium,Medium,light_hints,Knowledge (C),12,0.083333,3,2,6
medium,Medium,planner,Planner (D),3,0.333333,3,1,3
medium,Medium,tool_augmented,Tool-augmented (E),18,0.055556,3,1,3
hard,Hard,stub,Baseline (A),198,0.0,9,6,54
hard,Hard,reasoning,Prompted (B),688,0.014535,9,6,54
hard,Hard,light_hints,Knowledge (C),33,0.0,9,2,17
hard,Hard,planner,Planner (D),9,0.0,9,1,9
hard,Hard,tool_augmented,Tool-augmented (E),48,0.104167,8,1,8
